FID,osm_id,code,fclass,name
1655,"11962813419",3100,christian,St.Paul's E.L.C. Church
1881,"12345174421",3500,hindu,Hanuman Mandir
1821,"12188051769",3500,hindu,Sidh Baba Mandir  Pahari
1903,"12434279884",3302,muslim_shia,Irani Shia Masjid
1630,"11736460241",3500,hindu,Shiv Mandir
1641,"11763373803",3500,hindu,Vishwakarma Temple
1691,"12096749189",3500,hindu,Mahadev Parivar Tiraha
1036,"8906592767",3500,hindu,Hanuman Mandir
1857,"12194367082",3500,hindu,Bhole Nath Ka Mandir
527,"5474694564",3500,hindu,shankar ji ka Mandir
1250,"10737603293",3500,hindu,Shri Balhanuman Mandir
1902,"12434279877",3500,hindu,Hanuman Temple
1757,"12157520379",3500,hindu,Hanuman Mandir
1652,"11888862555",3500,hindu,Toll tax (permanently closed)
1519,"11690576049",3500,hindu,mandir
712,"7148039539",3500,hindu,Kapileshwar Ashram
1744,"12153156267",3500,hindu,Gedaji Mandir
1469,"11637590184",3400,buddhist,Banjari mata
1476,"11666860800",3500,hindu,Shiv Temple
1710,"12102489590",3500,hindu,Shri Ram Mandir
1823,"12188058417",3500,hindu,Somti Mata Mandir
1147,"9809127799",3500,hindu,
288,"4157370640",3500,hindu,Hanuman Mandir
1817,"12176480466",3500,hindu,Shree Siddha Hanuman Mandir
1807,"12174832303",3500,hindu,Ramjanki  Mandir
1670,"11989923759",3500,hindu,Manas Mandir
1352,"10959671247",3500,hindu,BABALDHAM
19,"1109077253",3500,hindu,Chatturbhuja Mandir
433,"4836591093",3500,hindu,Kali Mandir
1443,"11523331832",3500,hindu,Gaytri Mandir
1706,"12101997524",3500,hindu,Hanuman Mandir Rajakhoy
1755,"12156408317",3500,hindu,Shiv Temple
1037,"8909386820",3500,hindu,Mahadev Mandir
1271,"10814100011",3500,hindu,श्री चिंतामण गणेश मंदिर
1517,"11690576041",3500,hindu,khatushyam baba
803,"7799217953",3500,hindu,Sant Nirankari Satsang Bhawan
1872,"12214844955",3500,hindu,Balakhana
1554,"11691511815",3500,hindu,hanuman mandir
